sss;mateus12.medeirosss@gmail.com;sss;30/11/2022 20:09:08
João Pedro;joaopedro@email.copm;Estou muito feliz de estar me cadastrando!;30/11/2022 20:09:34
Pedro José;pedrojose@email.com;Céu azul, céu escuro, céu avermelhado...
;30/11/2022 20:13:00
Miranda;miranda@email.com;Adicionando mensagem;30/11/2022 20:14:09
turtle;turtle@email.com;Tartarugas são lentas, mas podem percorrer longas distâncias em seu ritmo...
;30/11/2022 20:15:10
nome;nome@email.com;Nomes são um mistério;30/11/2022 20:16:40
Marina;marina@email.com;;30/11/2022 20:17:51
Bananinha;bananinha@email.com;Bananas nascem e apodrecem;30/11/2022 20:18:33
Heitor;heitor@email.com;Mensagem secreta, não a revele!;30/11/2022 20:24:33
Larissa;lar@email.com;A chuva cai, mas não volta;30/11/2022 20:29:51
passaro;passaro@email.com;Pássaros voam;30/11/2022 20:31:08
Denilson;denilson@email.com;Árvores sustentam o Planeta Terra;30/11/2022 20:36:25
